@mightex_spectrum_save,2,2,0
2017-01-03 3:16:56 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 1.10000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.01193629339295E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.01193629239295E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.90576185393234E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46535069380756E+0002, 1.00000000000000E-0007, 1.60788402131888E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 2.13600000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.22098661753049E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.30724217274539E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.25230219943468E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.80035342252407E+0002, 1.59026240025595E+0002, 2.82978532420851E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 1.00800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.04318551308624E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.04318550308624E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.27289755612001E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.24340889354017E+0002, 1.00000000000000E-0007, 1.38292529379594E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 1.14400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.06339109178473E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.11458538101546E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.33617934536763E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.53306667644148E+0002, 5.51932553683192E+0001, 2.82917947298752E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 8.94000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.70908884556803E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.17857379321883E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.08045630962512E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.26911634392541E+0002, 2.53051505234920E+0001, 2.92711253497959E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06121121795971E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.85151638651497E+0001, 1.00000000000000E-0007, 8.68587750170006E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 1.35600000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.31117803259690E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.31117803159690E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.17694965147200E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.02300577190803E+0001, 1.00000000000000E-0007,-3.37848385508254E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 1.94600000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.99963427173762E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.59078612749266E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.47791794465705E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.47009454052539E+0002, 1.14055565898835E+0002, 1.89668135363160E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 1.16240940039139E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 1.16216544552882E+0003, 8.92000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.68567797545540E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.68567796545540E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.02858702319362E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.52839712826015E+0002, 1.00000000000000E-0007, 2.98554029418594E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
